S No,Binary Bit R,Binary Sent,Analog Val,Analog,1-2NTU
1,1,1,125,0.610351563,
2,0,0,101,0.493164063,
3,1,1,123,0.600585938,
4,0,0,101,0.493164063,
5,0,0,95,0.463867188,
6,0,0,99,0.483398438,
7,1,1,142,0.693359375,
8,0,0,97,0.473632813,
9,0,0,98,0.478515625,
10,0,0,98,0.478515625,
11,1,1,124,0.60546875,
12,1,1,144,0.703125,
13,0,0,102,0.498046875,
14,0,0,97,0.473632813,
15,1,1,141,0.688476563,
16,0,0,97,0.473632813,
17,0,0,100,0.48828125,
18,0,0,97,0.473632813,
19,1,1,124,0.60546875,
20,1,1,144,0.703125,
21,0,0,100,0.48828125,
22,0,0,98,0.478515625,
23,1,1,140,0.68359375,
24,0,0,98,0.478515625,
25,1,1,125,0.610351563,
26,1,1,141,0.688476563,
27,1,1,140,0.68359375,
28,1,1,144,0.703125,
29,0,0,100,0.48828125,
30,0,0,100,0.48828125,
31,1,1,140,0.68359375,
32,0,0,103,0.502929688,
33,0,0,99,0.483398438,
34,1,1,123,0.600585938,
35,0,0,101,0.493164063,
36,1,1,126,0.615234375,
37,0,0,99,0.483398438,
38,0,0,99,0.483398438,
39,0,0,100,0.48828125,
40,0,0,97,0.473632813,
41,0,0,100,0.48828125,
42,0,0,98,0.478515625,
43,0,0,98,0.478515625,
44,1,1,124,0.60546875,
45,0,0,99,0.483398438,
46,0,0,99,0.483398438,
47,1,1,140,0.68359375,
48,0,0,99,0.483398438,
49,1,1,124,0.60546875,
50,0,0,101,0.493164063,
51,1,1,121,0.590820313,
52,0,0,100,0.48828125,
53,0,0,97,0.473632813,
54,0,0,99,0.483398438,
55,1,1,142,0.693359375,
56,0,0,99,0.483398438,
57,0,0,100,0.48828125,
58,0,0,97,0.473632813,
59,1,1,125,0.610351563,
60,1,1,144,0.703125,
61,0,0,99,0.483398438,
62,0,0,97,0.473632813,
63,1,1,141,0.688476563,
64,0,0,96,0.46875,
65,0,0,101,0.493164063,
66,0,0,97,0.473632813,
67,1,1,124,0.60546875,
68,1,1,136,0.6640625,
69,0,0,100,0.48828125,
70,0,0,97,0.473632813,
71,1,1,140,0.68359375,
72,0,0,98,0.478515625,
73,1,1,124,0.60546875,
74,1,1,143,0.698242188,
75,1,1,142,0.693359375,
76,1,1,146,0.712890625,
77,0,0,100,0.48828125,
78,0,0,100,0.48828125,
79,1,1,140,0.68359375,
80,0,0,97,0.473632813,2-3NTU
81,0,0,97,0.473632813,
82,1,0,136,0.6640625,
83,0,1,97,0.473632813,
84,0,0,97,0.473632813,
85,1,0,141,0.688476563,
86,0,1,93,0.454101563,
87,1,0,120,0.5859375,
88,1,1,117,0.571289063,
89,0,0,93,0.454101563,
90,1,1,118,0.576171875,
91,0,0,92,0.44921875,
92,0,0,88,0.4296875,
93,0,0,90,0.439453125,
94,1,1,126,0.615234375,
95,0,0,93,0.454101563,
96,0,0,95,0.463867188,
97,0,0,93,0.454101563,
98,1,1,121,0.590820313,
99,1,1,142,0.693359375,
100,0,0,98,0.478515625,
101,0,0,97,0.473632813,
102,1,1,139,0.678710938,
103,0,0,97,0.473632813,
104,0,0,98,0.478515625,
105,0,0,94,0.458984375,
106,1,1,122,0.595703125,
107,1,1,142,0.693359375,
108,0,0,96,0.46875,
109,0,0,98,0.478515625,
110,1,1,139,0.678710938,
111,0,0,97,0.473632813,
112,1,1,121,0.590820313,
113,1,1,133,0.649414063,
114,1,1,141,0.688476563,
115,1,1,141,0.688476563,
116,0,0,96,0.46875,
117,0,0,97,0.473632813,
118,1,1,139,0.678710938,
119,0,0,97,0.473632813,
120,0,0,97,0.473632813,
121,1,1,121,0.590820313,
122,0,0,98,0.478515625,
123,1,1,123,0.600585938,
124,0,0,97,0.473632813,
125,0,0,97,0.473632813,
126,0,0,94,0.458984375,
127,0,0,95,0.463867188,
128,0,0,97,0.473632813,
129,0,0,95,0.463867188,
130,0,0,97,0.473632813,
131,1,1,122,0.595703125,
132,0,0,99,0.483398438,
133,0,0,93,0.454101563,
134,1,1,136,0.6640625,
135,0,0,95,0.463867188,
136,1,1,122,0.595703125,
137,0,0,98,0.478515625,
138,1,1,122,0.595703125,
139,0,0,98,0.478515625,
140,0,0,97,0.473632813,
141,0,0,98,0.478515625,
142,1,1,141,0.688476563,
143,0,0,95,0.463867188,
144,0,0,98,0.478515625,
145,0,0,95,0.463867188,
146,1,1,123,0.600585938,
147,1,1,143,0.698242188,
148,0,0,99,0.483398438,
149,0,0,96,0.46875,
150,1,1,137,0.668945313,
151,0,0,99,0.483398438,
152,0,0,97,0.473632813,
153,0,0,96,0.46875,
154,1,1,121,0.590820313,
155,1,1,140,0.68359375,
156,0,0,97,0.473632813,
157,0,0,96,0.46875,
158,1,1,137,0.668945313,
159,0,0,94,0.458984375,
160,0,0,97,0.473632813,3-4NTU
161,0,0,97,0.473632813,
162,1,0,136,0.6640625,
163,0,1,97,0.473632813,
164,0,0,97,0.473632813,
165,1,0,141,0.688476563,
166,0,1,93,0.454101563,
167,1,0,120,0.5859375,
168,1,1,117,0.571289063,
169,0,0,93,0.454101563,
170,1,1,118,0.576171875,
171,0,0,92,0.44921875,
172,0,0,88,0.4296875,
173,0,0,90,0.439453125,
174,1,1,126,0.615234375,
175,0,0,93,0.454101563,
176,0,0,95,0.463867188,
177,0,0,93,0.454101563,
178,1,1,121,0.590820313,
179,1,1,142,0.693359375,
180,0,0,98,0.478515625,
181,0,0,97,0.473632813,
182,1,1,139,0.678710938,
183,0,0,97,0.473632813,
184,0,0,98,0.478515625,
185,0,0,94,0.458984375,
186,1,1,122,0.595703125,
187,1,1,142,0.693359375,
188,0,0,96,0.46875,
189,0,0,98,0.478515625,
