labels,feature,bit
0,0.346679688,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
0,0.356445313,0
0,0.346679688,0
0,0.356445313,0
1,0.532226563,1
0,0.356445313,0
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
1,0.537109375,1
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
1,0.522460938,1
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.522460938,1
1,0.532226563,1
1,0.537109375,1
1,0.537109375,1
0,0.3515625,0
0,0.3515625,0
1,0.522460938,1
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
1,0.522460938,1
0,0.356445313,0
0,0.3515625,0
0,0.3515625,0
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
0,0.341796875,0
1,0.532226563,1
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.341796875,0
1,0.522460938,1
0,0.356445313,0
1,0.52734375,1
0,0.346679688,0
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.336914063,0
0,0.341796875,0
0,0.3515625,0
1,0.532226563,1
1,0.532226563,1
0,0.341796875,0
0,0.346679688,0
1,0.522460938,1
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
1,0.5859375,1
1,0.56640625,1
0,0.3515625,0
0,0.346679688,0
1,0.541992188,1
0,0.341796875,0
1,0.532226563,1
1,0.541992188,1
1,0.56640625,1
1,0.56640625,1
0,0.341796875,0
0,0.3515625,0
1,0.532226563,1
0,0.356445313,0
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
1,0.532226563,1
0,0.346679688,0
0,0.346679688,0
0,0.3515625,0
0,0.341796875,0
0,0.341796875,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
1,0.537109375,1
0,0.346679688,0
0,0.356445313,0
1,0.532226563,1
0,0.3515625,0
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
1,0.52734375,1
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
1,0.541992188,1
1,0.556640625,1
1,0.561523438,1
0,0.3515625,0
0,0.356445313,0
1,0.532226563,1
0,0.356445313,0
0,0.356445313,0
1,0.52734375,1
0,0.356445313,0
1,0.537109375,1
0,0.3515625,0
0,0.346679688,0
0,0.356445313,0
0,0.3515625,0
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.341796875,0
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
1,0.532226563,1
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.341796875,0
0,0.3515625,0
0,0.341796875,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.341796875,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
1,0.532226563,1
1,0.556640625,1
1,0.556640625,1
0,0.3515625,0
0,0.341796875,0
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.532226563,1
0,0.336914063,0
1,0.522460938,1
0,0.3515625,0
0,0.346679688,0
0,0.341796875,0
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
0,0.3515625,0
1,0.532226563,1
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.361328125,0
1,0.52734375,1
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.3515625,0
0,0.341796875,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.356445313,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
1,0.532226563,1
1,0.556640625,1
1,0.576171875,1
0,0.3515625,0
0,0.3515625,0
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.532226563,1
0,0.346679688,0
0,0.356445313,0
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
0,0.356445313,0
1,0.532226563,1
0,0.3515625,0
0,0.346679688,0
1,0.522460938,1
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
1,0.52734375,1
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.341796875,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
0,0.3515625,0
1,0.522460938,1
1,0.532226563,1
1,0.556640625,1
1,0.556640625,1
0,0.346679688,0
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
0,0.356445313,0
1,0.52734375,1
0,0.346679688,0
1,0.522460938,1
0,0.341796875,0
0,0.3515625,0
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
0,0.341796875,0
0,0.346679688,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
1,0.522460938,1
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
1,0.532226563,1
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
1,0.52734375,1
1,0.537109375,1
1,0.546875,1
1,0.551757813,1
0,0.3515625,0
0,0.3515625,0
1,0.537109375,1
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
0,0.356445313,0
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
1,0.52734375,1
0,0.341796875,0
0,0.356445313,0
0,0.341796875,0
1,0.532226563,1
0,0.341796875,0
0,0.346679688,0
0,0.356445313,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.341796875,0
0,0.341796875,0
1,0.52734375,1
0,0.341796875,0
1,0.52734375,1
1,0.537109375,1
1,0.556640625,1
1,0.546875,1
0,0.341796875,0
0,0.3515625,0
1,0.532226563,1
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
0,0.346679688,0
0,0.341796875,0
0,0.346679688,0
0,0.341796875,0
0,0.341796875,0
0,0.346679688,0
0,0.341796875,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
1,0.52734375,1
0,0.356445313,0
1,0.532226563,1
0,0.341796875,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
0,0.3515625,0
1,0.522460938,1
0,0.3515625,0
0,0.346679688,0
0,0.346679688,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.346679688,0
1,0.522460938,1
0,0.3515625,0
0,0.3515625,0
0,0.341796875,0
1,0.532226563,1
1,0.532226563,1
0,0.346679688,0
0,0.3515625,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
1,0.537109375,1
1,0.556640625,1
1,0.556640625,1
0,0.3515625,0
0,0.3515625,0
1,0.537109375,1
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.356445313,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.356445313,0
0,0.3515625,0
0,0.346679688,0
0,0.356445313,0
0,0.3515625,0
1,0.532226563,1
0,0.356445313,0
0,0.3515625,0
1,0.52734375,1
0,0.341796875,0
1,0.532226563,1
0,0.3515625,0
1,0.52734375,1
0,0.3515625,0
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
0,0.341796875,0
0,0.3515625,0
0,0.3515625,0
1,0.52734375,1
1,0.52734375,1
0,0.3515625,0
0,0.341796875,0
1,0.52734375,1
0,0.346679688,0
0,0.3515625,0
0,0.346679688,0
1,0.52734375,1
1,0.52734375,1
